Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00     23.39     0.00        2     0.00     0.00  get_time
  0.00     23.39     0.00        2     0.00     0.00  imd_insert
  0.00     23.39     0.00        2     0.00     0.00  insert_imd_tree
  0.00     23.39     0.00        2     0.00     0.00  max_split_depth
  0.00     23.39     0.00        2     0.00     0.00  my_process_id
  0.00     23.39     0.00        2     0.00     0.00  num_literals_including_answers
  0.00     23.39     0.00        2     0.00     0.00  unit_clause
  0.00     23.39     0.00        2     0.00     0.00  username
  0.00     23.39     0.00        2     0.00     0.00  wall_seconds
  0.00     23.39     0.00        1     0.00     0.02  auto_lex_order
  0.00     23.39     0.00        1     0.00     0.95  built_in_symbols
  0.00     23.39     0.00        1     0.00     0.00  change_parm
  0.00     23.39     0.00        1     0.00     0.00  check_options
  0.00     23.39     0.00        1     0.00     0.00  cleanup
  0.00     23.39     0.00        1     0.00     0.00  clock_init
  0.00     23.39     0.00        1     0.00     0.09  declare_user_functions
  0.00     23.39     0.00        1     0.00     0.00  dependent_parms
  0.00     23.39     0.00        1     0.00     0.18  get_ancestors
  0.00     23.39     0.00        1     0.00     0.00  hide_clause
  0.00     23.39     0.00        1     0.00     0.00  hostname
  0.00     23.39     0.00        1     0.00     1.16  init
  0.00     23.39     0.00        1     0.00     0.00  init_attributes
  0.00     23.39     0.00        1     0.00     0.00  init_options
  0.00     23.39     0.00        1     0.00     0.12  init_special_ops
  0.00     23.39     0.00        1     0.00     0.00  merge_sort
  0.00     23.39     0.00        1     0.00     0.00  next_cl_num
  0.00     23.39     0.00        1     0.00     0.00  non_portable_init
  0.00     23.39     0.00        1     0.00     0.00  output_stats
  0.00     23.39     0.00        1     0.00     0.00  print_banner
  0.00     23.39     0.00        1     0.00     0.02  print_list
  0.00     23.39     0.00        1     0.00     0.56  print_proof
  0.00     23.39     0.00        1     0.00     0.00  print_stats
  0.00     23.39     0.00        1     0.00     0.00  print_times
  0.00     23.39     0.00        1     0.00     0.00  proof_message
  0.00     23.39     0.00        1     0.00   281.19  read_a_file
  0.00     23.39     0.00        1     0.00   281.26  read_all_input
  0.00     23.39     0.00        1     0.00    35.12  read_list
  0.00     23.39     0.00        1     0.00    35.12  read_wt_list
  0.00     23.39     0.00        1     0.00     0.00  set_wt_list
  0.00     23.39     0.00        1     0.00     0.00  system_time
  0.00     23.39     0.00        1     0.00     0.00  term_ident_x_vars

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.04% of 23.39 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     99.7    0.01   23.32                 main [1]
                0.00   20.46    8642/8642        infer_and_process [2]
                0.00    2.54    8642/8642        extract_given_clause [17]
                0.00    0.28       1/1           read_all_input [29]
                0.00    0.03    8642/8646        index_lits_clash [68]
                0.00    0.00       1/1           init [107]
                0.00    0.00   17284/25931       splitting [191]
                0.00    0.00    8642/8642        check_stop [196]
                0.00    0.00    8642/28859       append_cl [189]
                0.00    0.00       1/1           non_portable_init [237]
                0.00    0.00       1/1           print_banner [239]
-----------------------------------------------
                0.00   20.46    8642/8642        main [1]
[2]     87.5    0.00   20.46    8642         infer_and_process [2]
                0.00   20.44    8642/8642        hyper_res [3]
